Cell_ID,Centroid_X,Centroid_Y
6749ccb4-2ed1-4029-968f-820a287f43c8,-894.2665834999998,-951.0565630000001
6cac74bd-4ea7-4701-8701-42563cc65eb8,-890.6275894999999,-937.8026019999998
9f29bd57-16a5-4b26-b9f5-37598809da9e,-892.2824424999999,-926.4445449999998
d7eb4e0b-276e-47e3-a55c-0b033180a2fe,-886.5579534999997,-803.552056
54434f3a-eba9-4aec-af35-c9d317ffa1d5,-885.3871435000001,-950.7944039999998
6dcfb0ba-763f-4330-8ff6-aa55fd5d6ba6,-886.1704974999998,-816.4353110000002
45fbf54d-35d2-4ac3-a42a-c59751e9d4f7,-878.3986494999999,-841.0683410000001
cb0b8dcf-a941-4766-bbc9-9e0271392c43,-880.1133475000001,-918.2078029999998
b288e78c-3693-4aad-b40f-a21ad62be583,-878.9440454999999,-875.2734300000002
7fb27368-5a7a-4eeb-9f67-a1259d9144dd,-877.0967634999997,-815.970703
fc52e122-5797-4f65-96ae-677e3b588eeb,-871.2985085,-907.468644
5307aed0-59df-4d41-ba52-c24c4fc5cdf2,-871.3253725,-862.7959930000002
e2c670ec-0c13-4b8a-83e5-6caece14ac25,-864.4264264999997,-788.743281
a5d56625-57e4-4309-8fdf-84754da0ccfe,-859.1943054999997,-965.3948230000001
afe4bb7d-2a63-43b6-b343-f50b2fee1009,-850.4573405000001,-925.1661159999999
ea47194d-699e-485a-87b5-d3c4a9bf9250,-852.4589744999998,-804.068988
641028c9-a183-440c-9e90-ade6f555cc26,-850.4196124999999,-943.7102239999999
37a71139-a9d3-4f69-ae79-82e8d5c4d574,-842.0272354999997,-845.011254
9ef9b217-f589-4745-8296-419e69e77658,-847.5737315000001,-894.4095819999998
b4d760d2-7c35-4861-9f60-aeeb9b852f89,-837.8034834999999,-955.2454779999998
9ad64f81-3718-4769-a92a-79fe8326da16,-837.1092595,-814.095624
418babd4-f13a-4fd5-9241-ac5e4f82ceff,-829.5814915000001,-941.6978939999999
f214b557-7e05-42a2-8ead-be574d1c20cb,-830.1371134999999,-825.8660369999998
e7de77bf-ad21-4265-b19b-af67541b42df,-807.9455224999997,-935.1125360000001
6c45896b-9cf1-4024-a3b4-b927561648da,-807.6811435,-828.4469199999999
30a07896-e095-4f73-aa07-c565f2d063b6,-805.2859214999999,-918.2146950000001
34a78f9e-4a6d-4456-8c91-1c78eee90f3f,-802.2105954999997,-881.5280010000001
7e4d9d7a-0d05-4be3-900e-13c1263181c8,-801.8863065,-895.6690880000001
53dd18ce-7ba1-4bad-a278-b7d6ea6e7217,-802.9459664999999,-942.881374
779216eb-6b8a-498f-84ed-d3314d68ecc5,-799.6793324999999,-792.3473650000001
b1c25a1e-31de-46d1-9c5f-6c3f83f7930a,-793.5169015000001,-959.3955930000002
da1e3d44-461d-429e-bbb1-179cb55c04da,-787.0383394999999,-887.3906430000002
eece06f7-d5e1-48fe-81fd-885d30761b58,-783.4420734999999,-836.602398
263fb69e-af88-4d98-a21d-568a9adc9348,-778.5652064999999,-850.7009410000001
efd34517-08f9-48d7-bc54-9dca1d75e9c3,-759.3357105,-848.9760649999998
2b4eacf2-5620-4e03-ac3e-faffe84960bc,-760.2846645,-889.6008320000001
9a1e89a4-217d-4a4f-bd26-d14ab68aa67e,-761.2979224999999,-937.8819829999998
89f3a444-e982-4c7f-b632-e60295b2957a,-749.4268065000001,-850.6149380000002
f1ee570e-baf4-464f-aac0-b31bc84f02a4,-739.6315515000001,-826.6375560000001
86957f26-2f74-4364-b60f-aa527daf678d,-732.2123415000001,-827.6626459999998
67cf7bab-a9b9-43a9-bce8-2298a3de86b0,-727.5364095,-946.2302570000002
153ad0e3-e40f-4a37-bdd1-c0d085faf494,-727.8777175,-865.718257
77403d3a-88e7-4df7-b5b4-816845876c14,-719.1027715,-910.921315
087a4fe7-dbb8-437a-bd7a-46a5e48d57e7,-715.2039144999999,-786.3119160000001
3a449934-3611-4065-a6aa-6b20480abbe6,-711.9988884999998,-801.852922
85e64cdf-1d09-49fd-a612-dd3c7d665b38,-882.8539624999999,-940.515198
af952da5-7f5f-48ac-b6e5-b4ae19fe8fd0,-880.7647415000001,-906.0611760000002
f88a287a-65b1-4097-bb91-9deaf88afc0e,-831.5867254999998,-816.0494560000002
2cc2f1ec-d34e-4b1e-ae57-01a30e999141,-821.9063194999999,-820.9136429999999
f55f30d0-3ce1-4764-aad5-0a08d01c9b21,-821.9221975,-866.1482780000001
901785ca-a102-4568-9ec5-e65906940242,-821.1456524999999,-830.8684969999999
bf580c2e-9c65-49ab-b222-c213803f764e,-801.2194184999998,-834.3043459999999
3e4163ff-86d0-42b8-b5b1-3b29ec24dee3,-794.7306494999998,-842.5865020000001
f643c0ab-b4ed-4b37-a81c-fbcdeddabe08,-717.7560764999998,-937.561796
f86be4f4-520e-412a-80b1-2b8703024f55,-719.3974564999999,-847.6619329999999
630a0768-4bec-4631-831e-669737601965,-890.0928795,-876.699474
c261392d-5e34-449c-a78b-c89880843edd,-856.2297355000001,-926.9996430000001
f678a578-a45d-48ae-a2c6-6f8e8430d747,-849.8315355,-914.2971600000001
75c05b0b-2c10-4aff-b7cc-3f6800edc916,-828.7625364999999,-880.622359
86721d40-9116-47eb-8b24-ca6dd6c85e9c,-753.6013155,-831.707684
77353f82-a645-4d7a-b4c3-4a10ccda3732,-853.2385764999999,-958.346951
a893dd9c-43af-45f8-b36f-2d08574f331e,-785.0383385,-958.3068469999998
efb2f232-ae64-4400-bb74-74a1dfc68611,-836.0094614999998,-877.7609950000001
a7995f33-4695-40c0-82e5-aaf555152c4d,-745.5349565000001,-864.458502
5e95c700-3eb8-4906-818c-ddbd936423dc,-738.3728834999997,-939.1492210000001
d33eafac-a1d5-4852-94cc-a45e5f3f5164,-890.3868075,-631.3413959999998
c69d10e6-64bc-4b34-9a83-88da531456a0,-879.4730245000001,-612.0500630000001
d6d49de6-feab-4025-a185-50edd211b8c3,-872.2272905,-762.4289600000002
f60da300-150b-4ce4-834c-284261efca31,-870.1089815,-642.9384110000001
a274fcb5-e0f9-4f64-be70-d921db353403,-867.2994774999997,-665.973219
ff705de8-cef3-49b8-ae8d-6995589c5e69,-858.3399964999999,-588.93419
3eaa643e-7b42-4795-86c3-52cfef00cb80,-850.4416965,-652.7588999999998
0fc449de-f874-42d0-85c6-110159b28618,-832.5961434999999,-691.4622469999999
8b9d4a83-8722-4613-8746-26a3b1d82976,-825.2568185,-663.676332
12b4a161-d9c5-45a7-8613-99e8df3eb4d3,-816.3849974999998,-594.8197879999998
